InDel,ID,Acronym,Hemisphere,red,green,blue,st_level
651,563807435,PoT,,255,128,132,8
652,406,SPF,,255,128,132,8
653,414,SPFm,,255,128,132,9
654,422,SPFp,,255,128,132,9
655,609,SPA,,255,128,132,8
656,1044,PP,,255,128,132,8
657,1008,GENd,,255,128,132,7
658,475,MG,,255,128,132,8
659,1072,MGd,,255,128,132,9
660,1079,MGv,,255,128,132,9
661,1088,MGm,,255,128,132,9
662,170,LGd,,255,128,132,8
663,496345664,LGd-sh,,255,128,132,9
664,496345668,LGd-co,,255,128,132,9
665,496345672,LGd-ip,,255,128,132,9
666,856,DORpm,,255,144,159,6
667,138,LAT,,255,144,159,7
668,218,LP,,255,144,159,8
669,1020,PO,,255,144,159,8
670,1029,POL,,255,144,159,8
671,325,SGN,,255,144,159,8
672,560581551,Eth,,255,144,159,8
673,560581555,REth,,255,144,159,8
674,239,ATN,,255,144,159,7
675,255,AV,,255,144,159,8
676,127,AM,,255,144,159,8
677,1096,AMd,,255,144,159,9
678,1104,AMv,,255,144,159,9
679,64,AD,,255,144,159,8
680,1120,IAM,,255,144,159,8
681,1113,IAD,,255,144,159,8
682,155,LD,,255,144,159,8
683,444,MED,,255,144,159,7
684,59,IMD,,255,144,159,8
685,362,MD,,255,144,159,8
686,617,MDc,,255,144,159,9
687,626,MDl,,255,144,159,9
688,636,MDm,,255,144,159,9
689,366,SMT,,255,144,159,8
690,1077,PR,,255,144,159,8
691,571,MTN,,255,144,159,7
692,149,PVT,,255,144,159,8
693,15,PT,,255,144,159,8
694,181,RE,,255,144,159,8
695,560581559,Xi,,255,144,159,8
696,51,ILM,,255,144,159,7
697,189,RH,,255,144,159,8
698,599,CM,,255,144,159,8
699,907,PCN,,255,144,159,8
700,575,CL,,255,144,159,8
701,930,PF,,255,144,159,8
702,560581563,PIL,,255,144,159,8
703,262,RT,,255,144,159,8
704,1014,GENv,,255,144,159,7
705,27,IGL,,255,144,159,8
706,563807439,IntG,,255,144,159,8
707,178,LGv,,255,144,159,8
708,300,LGvl,,255,144,159,9
709,316,LGvm,,255,144,159,9
710,321,SubG,,255,144,159,8
711,958,EPI,,255,144,159,7
712,483,MH,,255,144,159,8
713,186,LH,,255,144,159,8
714,953,PIN,,255,144,159,8
715,1097,HY,,230,68,56,5
716,157,PVZ,,255,93,80,6
717,390,SO,,255,93,80,8
718,332,ASO,,255,93,80,7
719,432,NC,,255,93,80,8
720,38,PVH,,255,93,80,8
721,71,PVHm,,255,93,80,9
722,47,PVHam,,255,93,80,10
723,79,PVHmm,,255,93,80,10
724,103,PVHpm,,255,93,80,10
725,652,PVHpml,,255,93,80,11
726,660,PVHpmm,,255,93,80,11
727,94,PVHp,,255,93,80,9
728,55,PVHap,,255,93,80,10
729,87,PVHmpd,,255,93,80,10
730,110,PVHpv,,255,93,80,10
731,30,PVa,,255,93,80,9
732,118,PVi,,255,93,80,9
733,223,ARH,,255,93,80,8
734,141,PVR,,255,85,71,6
735,72,ADP,,255,85,71,8
736,80,AHA,,255,85,71,8
737,263,AVP,,255,85,71,8
738,272,AVPV,,255,85,71,8
739,830,DMH,,255,85,71,8
740,668,DMHa,,255,85,71,9
741,676,DMHp,,255,85,71,9
742,684,DMHv,,255,85,71,9
743,452,MEPO,,255,85,71,8
744,523,MPO,,255,85,71,8
745,763,OV,,255,85,71,8
746,914,PD,,255,85,71,8
747,1109,PS,,255,85,71,8
748,1124,PSCH,,255,85,71,8
749,126,PVp,,255,85,71,8
750,133,PVpo,,255,85,71,8
751,347,SBPV,,255,85,71,8
752,286,SCH,,255,85,71,8
753,338,SFO,,255,85,71,8
754,576073699,VMPO,,255,85,71,8
755,689,VLPO,,255,85,71,8
756,467,MEZ,,255,76,62,6
757,88,AHN,,255,76,62,8
758,700,AHNa,,255,76,62,9
759,708,AHNc,,255,76,62,9
760,716,AHNd,,255,76,62,9
761,724,AHNp,,255,76,62,9
762,331,MBO,,255,76,62,7
763,210,LM,,255,76,62,8
764,491,MM,,255,76,62,8
765,732,MMme,,255,76,62,9
766,606826647,MMl,,255,76,62,9
767,606826651,MMm,,255,76,62,9
768,606826655,MMp,,255,76,62,9
769,606826659,MMd,,255,76,62,9
770,525,SUM,,255,76,62,8
771,1110,SUMl,,255,76,62,9
772,1118,SUMm,,255,76,62,9
773,557,TM,,255,76,62,8
774,1126,TMd,,255,76,62,9
775,1,TMv,,255,76,62,9
776,515,MPN,,255,76,62,8
777,740,MPNc,,255,76,62,9
778,748,MPNl,,255,76,62,9
779,756,MPNm,,255,76,62,9
780,980,PMd,,255,76,62,8
781,1004,PMv,,255,76,62,8
782,63,PVHd,,255,76,62,8
783,439,PVHdp,,255,76,62,9
784,447,PVHf,,255,76,62,9
785,455,PVHlp,,255,76,62,9
786,464,PVHmpv,,255,76,62,9
787,693,VMH,,255,76,62,8
788,761,VMHa,,255,76,62,9
789,769,VMHc,,255,76,62,9
790,777,VMHdm,,255,76,62,9
791,785,VMHvl,,255,76,62,9
792,946,PH,,255,76,62,8
793,290,LZ,,242,72,59,6
794,194,LHA,,242,72,59,8
795,226,LPO,,242,72,59,8
796,356,PST,,242,72,59,8
797,364,PSTN,,242,72,59,8
798,576073704,PeF,,242,72,59,8
799,173,RCH,,242,72,59,8
800,470,STN,,242,72,59,8
801,614,TU,,242,72,59,8
802,797,ZI,,242,72,59,8
803,796,A13,,242,72,59,9
804,804,FF,,242,72,59,9
805,10671,ME,,242,72,59,8
806,313,MB,,255,100,255,5
807,339,MBsen,,255,122,255,6
808,302,SCs,,255,122,255,8
809,851,SCop,,255,122,255,9
810,842,SCsg,,255,122,255,9
811,834,SCzo,,255,122,255,9
812,4,IC,,255,122,255,8
813,811,ICc,,255,122,255,9
814,820,ICd,,255,122,255,9
815,828,ICe,,255,122,255,9
816,580,NB,,255,122,255,8
817,271,SAG,,255,122,255,8
818,874,PBG,,255,122,255,8
819,460,MEV,,255,122,255,8
820,599626923,SCO,,255,122,255,8
821,323,MBmot,,255,144,255,6
822,381,SNr,,255,144,255,8
823,749,VTA,,255,144,255,8
824,607344830,PN,,255,144,255,8
825,246,RR,,255,144,255,8
826,128,MRN,,255,144,255,8
827,539,MRNm,,255,144,255,9
828,548,MRNmg,,255,144,255,9
829,555,MRNp,,255,144,255,9
830,294,SCm,,255,144,255,8
831,26,SCdg,,255,144,255,9
832,42,SCdw,,255,144,255,9
833,17,SCiw,,255,144,255,9
834,10,SCig,,255,144,255,9
835,494,SCig-a,,255,144,255,10
836,503,SCig-b,,255,144,255,10
837,511,SCig-c,,255,144,255,10
838,795,PAG,,255,144,255,8
839,50,PRC,,255,144,255,9
840,67,INC,,255,144,255,9
841,587,ND,,255,144,255,9
842,614454277,Su3,,255,144,255,9
843,1100,PRT,,255,144,255,8
844,215,APN,,255,144,255,9
845,531,MPT,,255,144,255,9
846,628,NOT,,255,144,255,9
847,634,NPC,,255,144,255,9
848,706,OP,,255,144,255,9
849,1061,PPT,,255,144,255,9
850,549009203,RPF,,255,144,255,9
851,549009207,InCo,,255,144,255,8
852,616,CUN,,255,144,255,8
853,214,RN,,255,144,255,8
854,35,III,,255,144,255,8
855,549009211,MA3,,255,144,255,8
856,975,EW,,255,144,255,8
857,115,IV,,255,144,255,8
858,606826663,Pa4,,255,144,255,8
859,757,VTN,,255,144,255,8
860,231,AT,,255,144,255,8
861,66,LT,,255,144,255,8
862,75,DT,,255,144,255,8
863,58,MT,,255,144,255,8
864,615,SNl,,255,144,255,8
865,348,MBsta,,255,144,255,6
866,374,SNc,,255,166,255,8
867,1052,PPN,,255,166,255,8
868,165,RAmb,,255,166,255,7
869,12,IF,,255,166,255,8
870,100,IPN,,255,166,255,8
871,607344834,IPR,,255,166,255,9
872,607344838,IPC,,255,166,255,9
873,607344842,IPA,,255,166,255,9
874,607344846,IPL,,255,166,255,9
875,607344850,IPI,,255,166,255,9
876,607344854,IPDM,,255,166,255,9
877,607344858,IPDL,,255,166,255,9
878,607344862,IPRL,,255,166,255,9
879,197,RL,,255,166,255,8
880,591,CLI,,255,166,255,8
881,872,DR,,255,166,255,8
882,1065,HB,,255,155,136,3
883,771,P,,255,155,136,5
884,1132,P-sen,,255,174,111,6
885,612,NLL,,255,174,111,8
886,82,NLLd,,255,174,111,9
887,90,NLLh,,255,174,111,9
888,99,NLLv,,255,174,111,9
889,7,PSV,,255,174,111,8
890,867,PB,,255,174,111,8
891,123,KF,,255,174,111,9
892,881,PBl,,255,174,111,9
893,860,PBlc,,255,174,111,10
894,868,PBld,,255,174,111,10
895,875,PBle,,255,174,111,10
896,883,PBls,,255,174,111,10
897,891,PBlv,,255,174,111,10
898,890,PBm,,255,174,111,9
899,899,PBme,,255,174,111,10
900,915,PBmm,,255,174,111,10
901,923,PBmv,,255,174,111,10
902,398,SOC,,255,174,111,8
903,122,POR,,255,174,111,9
904,105,SOCm,,255,174,111,9
905,114,SOCl,,255,174,111,9
906,987,P-mot,,255,186,134,6
907,280,B,,255,186,134,8
908,880,DTN,,255,186,134,8
909,283,LTN,,255,186,134,8
910,599626927,PDTg,,255,186,134,8
911,898,PCG,,255,186,134,8
912,931,PG,,255,186,134,8
913,1093,PRNc,,255,186,134,8
914,552,PRNv,,255,186,134,8
915,318,SG,,255,186,134,8
916,462,SSN,,255,186,134,8
917,534,SUT,,255,186,134,8
918,574,TRN,,255,186,134,8
919,621,V,,255,186,134,8
920,549009215,P5,,255,186,134,8
921,549009219,Acs5,,255,186,134,8
922,549009223,PC5,,255,186,134,8
923,549009227,I5,,255,186,134,8
924,1117,P-sat,,255,195,149,6
925,679,CS,,255,195,149,8
926,137,CSl,,255,195,149,9
927,130,CSm,,255,195,149,9
928,147,LC,,255,195,149,8
929,162,LDT,,255,195,149,8
930,604,NI,,255,195,149,8
931,146,PRNr,,255,195,149,8
932,238,RPO,,255,195,149,8
933,350,SLC,,255,195,149,8
934,358,SLD,,255,195,149,8
935,354,MY,,255,155,205,5
936,386,MY-sen,,255,165,210,6
937,207,AP,,255,165,210,8
938,607,CN,,255,165,210,7
939,112,CNlam,,255,165,210,8
940,560,CNspg,,255,165,210,8
941,96,DCO,,255,165,210,8
942,101,VCO,,255,165,210,8
943,720,DCN,,255,165,210,7
944,711,CU,,255,165,210,8
945,1039,GR,,255,165,210,8
946,903,ECU,,255,165,210,8
947,642,NTB,,255,165,210,8
948,651,NTS,,255,165,210,8
949,659,NTSce,,255,165,210,9
950,666,NTSco,,255,165,210,9
951,674,NTSge,,255,165,210,9
952,682,NTSl,,255,165,210,9
953,691,NTSm,,255,165,210,9
954,429,SPVC,,255,165,210,9
955,437,SPVI,,255,165,210,9
956,445,SPVO,,255,165,210,9
957,77,SPVOcdm,,255,165,210,10
958,53,SPVOmdmd,,255,165,210,10
959,61,SPVOmdmv,,255,165,210,10
960,45,SPVOrdm,,255,165,210,10
961,69,SPVOvl,,255,165,210,10
962,589508451,Pa5,,255,165,210,8
963,789,z,,255,165,210,8
964,370,MY-mot,,255,179,217,6
965,653,VI,,255,179,217,8
966,568,ACVI,,255,179,217,8
967,661,VII,,255,179,217,8
968,576,ACVII,,255,179,217,8
969,640,EV,,255,179,217,8
970,135,AMB,,255,179,217,8
971,939,AMBd,,255,179,217,9
972,143,AMBv,,255,179,217,9
973,839,DMX,,255,179,217,8
974,887,ECO,,255,179,217,8
975,1048,GRN,,255,179,217,8
976,372,ICB,,255,179,217,8
977,83,IO,,255,179,217,8
978,136,IRN,,255,179,217,8
979,106,ISN,,255,179,217,8
980,203,LIN,,255,179,217,8
981,235,LRN,,255,179,217,8
982,955,LRNm,,255,179,217,9
983,963,LRNp,,255,179,217,9
984,307,MARN,,255,179,217,8
985,395,MDRN,,255,179,217,8
986,1098,MDRNd,,255,179,217,9
987,1107,MDRNv,,255,179,217,9
988,852,PARN,,255,179,217,8
989,859,PAS,,255,179,217,8
990,938,PGRN,,255,179,217,8
991,970,PGRNd,,255,179,217,9
992,978,PGRNl,,255,179,217,9
993,154,PHY,,255,179,217,7
994,161,NIS,,255,179,217,8
995,177,NR,,255,179,217,8
996,169,PRP,,255,179,217,8
997,995,PMR,,255,179,217,8
998,1069,PPY,,255,179,217,8
999,185,PPYd,,255,179,217,9
1000,193,PPYs,,255,179,217,9
1001,701,VNC,,255,179,217,7
1002,209,LAV,,255,179,217,8
1003,202,MV,,255,179,217,8
1004,225,SPIV,,255,179,217,8
1005,217,SUV,,255,179,217,8
1006,765,x,,255,179,217,8
1007,773,XII,,255,179,217,8
1008,781,y,,255,179,217,8
1009,76,INV,,255,179,217,8
1010,379,MY-sat,,255,198,226,6
1011,206,RM,,255,198,226,8
1012,230,RPA,,255,198,226,8
1013,222,RO,,255,198,226,8
1014,512,CB,,240,240,128,2
1015,528,CBX,,240,240,128,5
1016,1144,CBXmo,,255,252,145,11
1017,1145,CBXpu,,255,252,145,11
1018,1143,CBXgr,,236,231,84,11
1019,645,VERM,,255,252,145,6
1020,912,LING,,255,252,145,8
1021,10707,LINGmo,,255,252,145,11
1022,10706,LINGpu,,255,252,145,11
1023,10705,LINGgr,,236,231,84,11
1024,920,CENT,,255,252,145,7
1025,976,CENT2,,255,252,145,8
1026,10710,CENT2mo,,255,252,145,11
1027,10709,CENT2pu,,255,252,145,11
1028,10708,CENT2gr,,236,231,84,11
1029,984,CENT3,,255,252,145,8
1030,10713,CENT3mo,,255,252,145,11
1031,10712,CENT3pu,,255,252,145,11
1032,10711,CENT3gr,,236,231,84,11
1033,928,CUL,,255,252,145,7
1034,992,CUL4,,255,252,145,8
1035,10716,CUL4mo,,255,252,145,11
1036,10715,CUL4pu,,255,252,145,11
1037,10714,CUL4gr,,236,231,84,11
1038,1001,CUL5,,255,252,145,8
1039,10719,CUL5mo,,255,252,145,11
1040,10718,CUL5pu,,255,252,145,11
1041,10717,CUL5gr,,236,231,84,11
1042,1091,"CUL4, 5",,255,252,145,8
1043,10722,"CUL4, 5mo",,255,252,145,11
1044,10721,"CUL4, 5pu",,255,252,145,11
1045,10720,"CUL4, 5gr",,236,231,84,11
1046,936,DEC,,255,252,145,8
1047,10725,DECmo,,255,252,145,11
1048,10724,DECpu,,255,252,145,11
1049,10723,DECgr,,236,231,84,11
1050,944,FOTU,,255,252,145,8
1051,10728,FOTUmo,,255,252,145,11
1052,10727,FOTUpu,,255,252,145,11
1053,10726,FOTUgr,,236,231,84,11
1054,951,PYR,,255,252,145,8
1055,10731,PYRmo,,255,252,145,11
1056,10730,PYRpu,,255,252,145,11
1057,10729,PYRgr,,236,231,84,11
1058,957,UVU,,255,252,145,8
1059,10734,UVUmo,,255,252,145,11
1060,10733,UVUpu,,255,252,145,11
1061,10732,UVUgr,,236,231,84,11
1062,968,NOD,,255,252,145,8
1063,10737,NODmo,,255,252,145,11
1064,10736,NODpu,,255,252,145,11
1065,10735,NODgr,,236,231,84,11
1066,1073,HEM,,255,252,145,6
1067,1007,SIM,,255,252,145,8
1068,10674,SIMmo,,255,252,145,11
1069,10673,SIMpu,,255,252,145,11
1070,10672,SIMgr,,236,231,84,11
1071,1017,AN,,255,252,145,7
1072,1056,ANcr1,,255,252,145,8
1073,10677,ANcr1mo,,255,252,145,11
1074,10676,ANcr1pu,,255,252,145,11
1075,10675,ANcr1gr,,236,231,84,11
1076,1064,ANcr2,,255,252,145,8
1077,10680,ANcr2mo,,255,252,145,11
1078,10679,ANcr2pu,,255,252,145,11
1079,10678,ANcr2gr,,236,231,84,11
1080,1025,PRM,,255,252,145,8
1081,10683,PRMmo,,255,252,145,11
1082,10682,PRMpu,,255,252,145,11
1083,10681,PRMgr,,236,231,84,11
1084,1033,COPY,,255,252,145,8
1085,10686,COPYmo,,255,252,145,11
1086,10685,COPYpu,,255,252,145,11
1087,10684,COPYgr,,236,231,84,11
1088,1041,PFL,,255,252,145,8
1089,10689,PFLmo,,255,252,145,11
1090,10688,PFLpu,,255,252,145,11
1091,10687,PFLgr,,236,231,84,11
1092,1049,FL,,255,252,145,8
1093,10692,FLmo,,255,252,145,11
1094,10691,FLpu,,255,252,145,11
1095,10690,FLgr,,236,231,84,11
1096,519,CBN,,240,240,128,5
1097,989,FN,,255,253,188,8
1098,91,IP,,255,253,188,8
1099,846,DN,,255,253,188,8
1100,589508455,VeCB,,255,253,188,8
1101,1009,fiber tracts,,204,204,204,1
1102,967,cm,,204,204,204,2
1103,885,tn,,204,204,204,8
1104,949,von,,204,204,204,8
1105,840,In,,204,204,204,8
1106,1016,onl,,204,204,204,9
1107,21,lotg,,204,204,204,9
1108,665,lot,,204,204,204,10
1109,538,lotd,,204,204,204,10
1110,459,aolt,,204,204,204,10
1111,900,aco,,204,204,204,9
1112,848,IIn,,204,204,204,8
1113,876,aot,,204,204,204,9
1114,916,bsc,,204,204,204,9
1115,336,csc,,204,204,204,9
1116,117,och,,204,204,204,9
1117,125,opt,,204,204,204,9
1118,357,ttp,,204,204,204,9
1119,832,IIIn,,204,204,204,8
1120,62,mlf,,204,204,204,9
1121,158,pc,,204,204,204,9
1122,911,IVn,,204,204,204,8
1123,384,IVd,,204,204,204,9
1124,710,VIn,,204,204,204,8
1125,901,Vn,,204,204,204,8
1126,93,moV,,204,204,204,9
1127,229,sV,,204,204,204,9
1128,705,mtV,,204,204,204,10
1129,794,sptV,,204,204,204,10
1130,798,VIIn,,204,204,204,8
1131,1131,iVIIn,,204,204,204,9
1132,1116,gVIIn,,204,204,204,9
1133,933,VIIIn,,204,204,204,8
1134,1076,cvb,,204,204,204,9
1135,413,vVIIIn,,204,204,204,9
1136,948,cVIIIn,,204,204,204,9
1137,841,tb,,204,204,204,10
1138,641,ias,,204,204,204,10
1139,506,das,,204,204,204,10
1140,658,ll,,204,204,204,10
1141,633,cic,,204,204,204,10
1142,482,bic,,204,204,204,10
1143,808,IXn,,204,204,204,8
1144,917,Xn,,204,204,204,8
1145,237,ts,,204,204,204,9
1146,717,XIn,,204,204,204,8
1147,813,XIIn,,204,204,204,8
1148,925,vrt,,204,204,204,7
1149,792,drt,,204,204,204,7
1150,932,cett,,204,204,204,8
1151,570,dl,,204,204,204,9
1152,522,dcm,,204,204,204,9
1153,858,vc,,204,204,204,9
1154,586,fpr,,204,204,204,9
1155,514,dc,,204,204,204,9
1156,380,cuf,,204,204,204,10
1157,388,grf,,204,204,204,10
1158,396,iaf,,204,204,204,10
1159,697,ml,,204,204,204,9
1160,871,sst,,204,204,204,8
1161,29,sttl,,204,204,204,9
1162,389,sttv,,204,204,204,9
1163,245,scrt,,204,204,204,9
1164,261,sop,,204,204,204,9
1165,270,srp,,204,204,204,9
1166,293,svp,,204,204,204,9
1167,277,stp,,204,204,204,9
1168,253,shp,,204,204,204,9
1169,285,step,,204,204,204,9
1170,627,hht,,204,204,204,10
1171,960,cbf,,204,204,204,2
1172,744,cbc,,204,204,204,8
1173,752,cbp,,204,204,204,7
1174,326,scp,,204,204,204,8
1175,812,dscp,,204,204,204,9
1176,85,sct,,204,204,204,10
1177,850,uf,,204,204,204,9
1178,866,sctv,,204,204,204,9
1179,78,mcp,,204,204,204,8
1180,1123,icp,,204,204,204,8
1181,553,sctd,,204,204,204,9
1182,499,cct,,204,204,204,9
1183,650,jrb,,204,204,204,9
1184,490,bct,,204,204,204,9
1185,404,oct,,204,204,204,10
1186,410,rct,,204,204,204,10
1187,373,tct,,204,204,204,8
1188,728,arb,,204,204,204,8
1189,484682512,scwm,,204,204,204,2
1190,983,lfbs,,204,204,204,2
1191,776,cc,,204,204,204,8
1192,956,fa,,204,204,204,9
1193,579,ec,,204,204,204,10
1194,964,ee,,204,204,204,9
1195,1108,ccg,,204,204,204,9
1196,971,fp,,204,204,204,9
1197,979,ccr,,204,204,204,9
1198,484682516,ccb,,204,204,204,9
1199,986,ccs,,204,204,204,9
1200,784,cst,,204,204,204,8
1201,6,int,,204,204,204,9
1202,924,cpd,,204,204,204,9
1203,1036,cte,,204,204,204,9
1204,1012,crt,,204,204,204,9
1205,1003,cpt,,204,204,204,9
1206,994,cbt,,204,204,204,9
1207,190,py,,204,204,204,9
1208,198,pyd,,204,204,204,9
1209,1019,cstc,,204,204,204,9
1210,1028,cstu,,204,204,204,9
1211,896,lfbst,,204,204,204,7
1212,1092,em,,204,204,204,8
1213,14,im,,204,204,204,8
1214,86,mtc,,204,204,204,8
1215,365,tp,,204,204,204,8
1216,484682520,or,,204,204,204,8
1217,484682524,ar,,204,204,204,8
1218,1000,eps,,204,204,204,2
1219,760,epsc,,204,204,204,7
1220,142,pap,,204,204,204,8
1221,102,nst,,204,204,204,8
1222,109,ntt,,204,204,204,8
1223,134,ptf,,204,204,204,8
1224,309,snp,,204,204,204,8
1225,317,stf,,204,204,204,8
1226,877,tsp,,204,204,204,8
1227,1051,tspd,,204,204,204,9
1228,1060,dtd,,204,204,204,9
1229,1043,tspc,,204,204,204,9
1230,863,rust,,204,204,204,8
1231,397,vtd,,204,204,204,9
1232,221,rrt,,204,204,204,9
1233,736,ctb,,204,204,204,8
1234,855,rst,,204,204,204,8
1235,205,rstl,,204,204,204,9
1236,213,rstm,,204,204,204,9
1237,941,vsp,,204,204,204,8
1238,991,mfbs,,204,204,204,2
1239,768,mfbc,,204,204,204,7
1240,884,amc,,204,204,204,8
1241,892,apd,,204,204,204,8
1242,908,act,,204,204,204,8
1243,940,cing,,204,204,204,8
1244,1099,fxs,,204,204,204,8
1245,466,alv,,204,204,204,9
1246,530,df,,204,204,204,9
1247,603,fi,,204,204,204,9
1248,745,fxprg,,204,204,204,9
1249,420,db,,204,204,204,10
1250,737,fxpo,,204,204,204,9
1251,428,mct,,204,204,204,10
1252,436,fx,,204,204,204,10
1253,618,hc,,204,204,204,9
1254,443,dhc,,204,204,204,10
1255,449,vhc,,204,204,204,10
1256,713,per,,204,204,204,9
1257,474,ab,,204,204,204,9
1258,37,lab,,204,204,204,8
1259,301,st,,204,204,204,8
1260,484682528,stc,,204,204,204,9
1261,824,mfsbshy,,204,204,204,7
1262,54,mfb,,204,204,204,8
1263,405,vlt,,204,204,204,8
1264,174,poc,,204,204,204,8
1265,349,sup,,204,204,204,8
1266,817,supa,,204,204,204,9
1267,825,supd,,204,204,204,9
1268,833,supv,,204,204,204,9
1269,166,pmx,,204,204,204,8
1270,341,smd,,204,204,204,8
1271,182,php,,204,204,204,8
1272,762,phpd,,204,204,204,9
1273,770,phpl,,204,204,204,9
1274,779,phpm,,204,204,204,9
1275,787,phpv,,204,204,204,9
1276,150,pvbh,,204,204,204,8
1277,46,mfbsma,,204,204,204,8
1278,753,pm,,204,204,204,9
1279,690,mtt,,204,204,204,9
1280,681,mtg,,204,204,204,9
1281,673,mp,,204,204,204,9
1282,1068,mfbst,,204,204,204,8
1283,722,pvbt,,204,204,204,9
1284,1083,mfbse,,204,204,204,8
1285,802,sm,,204,204,204,9
1286,595,fr,,204,204,204,9
1287,611,hbc,,204,204,204,9
1288,730,PIS,,204,204,204,9
1289,70,mfbsm,,204,204,204,8
1290,547,dlf,,204,204,204,9
1291,563,dtt,,204,204,204,9
1292,73,VS,,170,170,170,1
1293,81,VL,,170,170,170,8
1294,89,RC,,170,170,170,9
1295,98,SEZ,,170,170,170,9
1296,108,chpl,,170,170,170,9
1297,116,chfl,,170,170,170,9
1298,124,IVF,,170,170,170,8
1299,129,V3,,170,170,170,8
1300,140,AQ,,170,170,170,8
1301,145,V4,,170,170,170,8
1302,153,V4r,,170,170,170,9
1303,164,c,,170,170,170,8
1304,1024,grv,,170,170,170,1
1305,1032,grv of CTX,,170,170,170,7
1306,1055,eg,,170,170,170,8
1307,1063,hf,,170,170,170,8
1308,1071,rf,,170,170,170,8
1309,1078,ri,,170,170,170,8
1310,1040,grv of CBX,,170,170,170,7
1311,1087,pce,,170,170,170,8
1312,1095,pcf,,170,170,170,8
1313,1103,pri,,170,170,170,8
1314,1112,psf,,170,170,170,8
1315,1119,ppf,,170,170,170,8
1316,3,sec,,170,170,170,8
1317,11,plf,,170,170,170,8
1318,18,nf,,170,170,170,8
1319,25,sif,,170,170,170,8
1320,34,icf,,170,170,170,8
1321,43,apf,,170,170,170,8
1322,49,ipf,,170,170,170,8
1323,57,pms,,170,170,170,8
1324,65,pfs,,170,170,170,8
1325,624,IPF,,170,170,170,7
1326,304325711,retina,,127,46,126,1
